   76327.617655 lost 7156 events on cpu 5

Runtime summary
                          comm  parent   sched-in     run-time    min-run     avg-run     max-run  stddev  migrations
                                          (count)       (msec)     (msec)      (msec)      (msec)       %
---------------------------------------------------------------------------------------------------------------------
             migration/57[359]       2         39        0.333      0.003       0.008       0.018    4.66       0
         kworker/31:1H-k[1895]       2        123        7.068      0.028       0.057       0.171    2.71       0
         containerd[2407/2345]    2345          3        1.346      0.033       0.448       0.864   53.46       0
         containerd[2408/2345]    2345          1        0.110      0.110       0.110       0.110    0.00       0
            migration/100[617]       2         38        0.326      0.004       0.008       0.040   10.82       0
             migration/15[106]       2         38        0.332      0.002       0.008       0.042   11.22       0
              snapd[2666/2327]    2327          1        1.162      1.162       1.162       1.162    0.00       0
          dockerd[673898/2411]    2411          1        0.264      0.264       0.264       0.264    0.00       0
             migration/58[365]       2         39        0.433      0.003       0.011       0.041   11.53       0
              snapd[2669/2327]    2327          1        0.928      0.928       0.928       0.928    0.00       0
              snapd[2670/2327]    2327          1        1.231      1.231       1.231       1.231    0.00       0
            migration/101[623]       2         38        0.315      0.002       0.008       0.041   11.78       0
             migration/16[112]       2         38        0.373      0.004       0.009       0.041    8.94       0
         kworker/67:1H-k[1906]       2          1        0.094      0.094       0.094       0.094    0.00       0
              snapd[2674/2327]    2327          1        0.115      0.115       0.115       0.115    0.00       0
             migration/59[371]       2         39        0.375      0.003       0.009       0.042   12.29       0
              snapd[2675/2327]    2327          1        0.257      0.257       0.257       0.257    0.00       0
            migration/102[629]       2         38        0.312      0.003       0.008       0.041   11.81       0
            dockerd[2421/2411]    2411        100        2.462      0.011       0.024       0.056    3.10       0
            dockerd[2677/2411]    2411          1        1.344      1.344       1.344       1.344    0.00       0
         kworker/60:0-mm[5749]       2          9        0.198      0.008       0.022       0.046   19.51       0
             migration/17[118]       2         38        0.373      0.008       0.009       0.041    8.83       0
          kworker/u224:1-[886]       2         28        0.345      0.005       0.012       0.040    8.65       0
            dockerd[2678/2411]    2411          1        0.193      0.193       0.193       0.193    0.00       0
       docker-proxy[2934/2924]    2924          6        0.124      0.014       0.020       0.032   13.15       0
