
Runtime summary
                          comm  parent   sched-in     run-time    min-run     avg-run     max-run  stddev  migrations
                                          (count)       (msec)     (msec)      (msec)      (msec)       %
---------------------------------------------------------------------------------------------------------------------
         systemd-resolve[2268]       1          3        0.388      0.115       0.129       0.137    5.38       0
             migration/34[221]       2         83        0.674      0.003       0.008       0.038    5.53       0
             migration/77[479]       2         84        0.733      0.008       0.008       0.041    4.57       0
             migration/35[227]       2         83        0.714      0.003       0.008       0.041    5.30       0
             migration/78[485]       2         84        0.735      0.008       0.008       0.040    4.44       0
         kworker/80:0-ev[4837]       2        165       12.901      0.038       0.078       0.127    0.66       0
            dockerd[4326/2411]    2411          2        1.323      0.415       0.661       0.907   37.19       0
             migration/36[233]       2         83        0.724      0.003       0.008       0.041    5.07       0
         containerd[4329/2345]    2345          4        3.243      0.038       0.810       1.442   45.37       0
            dockerd[4330/2411]    2411          2        2.284      0.543       1.142       1.740   52.40       0
             migration/79[491]       2         84        0.736      0.008       0.008       0.039    4.27       0
          kworker/56:1-mm[747]       2          2        0.069      0.033       0.034       0.035    2.47       0
            dockerd[4331/2411]    2411         33        8.180      0.008       0.247       1.788   28.89       0
         containerd[4332/2345]    2345          3        1.774      0.374       0.591       0.880   25.45       0
            dockerd[4333/2411]    2411          7        3.456      0.057       0.493       0.889   25.15       0
        kworker/10:1-ev[49133]       2          4        0.163      0.033       0.040       0.056   13.08       0
            dockerd[4334/2411]    2411        120        8.827      0.008       0.073       1.252   16.02       0
             migration/37[239]       2         83        0.766      0.004       0.009       0.041    4.34       0
             migration/80[497]       2         84        0.724      0.008       0.008       0.042    4.70       0
             ksoftirqd/80[498]       2         10        0.101      0.009       0.010       0.011    1.03       0
              snapd[2546/2327]    2327          2        1.891      0.632       0.945       1.258   33.12       0
              snapd[2547/2327]    2327          3        2.442      0.328       0.814       1.468   41.75       0
             migration/38[245]       2         83        0.694      0.003       0.008       0.041    5.51       0
              snapd[2550/2327]    2327          8        3.444      0.027       0.430       1.562   50.21       0
             migration/81[503]       2         84        0.731      0.008       0.008       0.041    4.53       0
          kworker/u229:0[1015]       2          2        0.096      0.024       0.048       0.072   49.57       0
       kworker/2:0-mm_[674039]       2          9        0.216      0.005       0.024       0.054   27.06       0
             migration/39[251]       2         83        0.778      0.003       0.009       0.042    4.36       0
                    cron[2300]       1          5        0.293      0.055       0.058       0.068    4.34       0
             migration/82[509]       2         84        0.726      0.008       0.008       0.041    4.59       0
             dbus-daemon[2302]       1          1        0.131      0.131       0.131       0.131    0.00       0
                :-1[-1/906599]      -1       3410    14035.885      0.009       4.116     333.842    8.06       0

Terminated tasks:
          lcpan[907531/906599]   906599          1        3.381      3.381       3.381       3.381    0.00       0
          lcpan[907535/906599]   906599          1       39.180     39.180      39.180      39.180    0.00       0
          lcpan[907793/906599]   906599          1        0.072      0.072       0.072       0.072    0.00       0
          lcpan[907539/906599]   906599          1        1.559      1.559       1.559       1.559    0.00       0
