# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 3M of event 'sched:sched_switch'
# Event count (approx.): 3693633
#
# Overhead  Command          Shared Object      Symbol        
# ........  ...............  .................  ..............
#
     0.00%  munged           [kernel.kallsyms]  [k] __schedule
     0.00%  pool-udisksd     [kernel.kallsyms]  [k] __schedule
     0.00%  rpcbind          [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/81:2-ev  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/91:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  sshd             [kernel.kallsyms]  [k] __schedule
     0.00%  sudo             [kernel.kallsyms]  [k] __schedule
     0.00%  dbus-daemon      [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/30:1H-k  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/63:1H-k  [kernel.kallsyms]  [k] __schedule
     0.00%  slurmd           [kernel.kallsyms]  [k] __schedule
     0.00%  kthreadd         [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/102:1-m  [kernel.kallsyms]  [k] __schedule
     0.00%  in:imuxsock      [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/100:1-m  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/61:2-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  rs:main Q:Reg    [kernel.kallsyms]  [k] __schedule
     0.00%  sh               [kernel.kallsyms]  [k] __schedule
     0.00%  systemd-logind   [kernel.kallsyms]  [k] __schedule
     0.00%  udisksd          [kernel.kallsyms]  [k] __schedule
     0.00%  docker-init      [kernel.kallsyms]  [k] __schedule
     0.00%  khungtaskd       [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/0:1H-kb  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/13:2-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/22:0-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/24:1-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/29:1H-k  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/60:0-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/66:1H-k  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/68:0-ev  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/83:2-mm  [kernel.kallsyms]  [k] __schedule
     0.00%  kworker/u225:0-  [kernel.kallsyms]  [k] __schedule
     0.00%  systemd-resolve  [kernel.kallsyms]  [k] __schedule
     0.00%  systemd-timesyn  [kernel.kallsyms]  [k] __schedule
     0.00%  debian-sa1       [kernel.kallsyms]  [k] __schedule
