   76177.910062 lost 5538 events on cpu 58
   76177.916688 lost 1177 events on cpu 64

Runtime summary
                          comm  parent   sched-in     run-time    min-run     avg-run     max-run  stddev  migrations
                                          (count)       (msec)     (msec)      (msec)      (msec)       %
---------------------------------------------------------------------------------------------------------------------
              agent[4482/3163]    3163          1        1.971      1.971       1.971       1.971    0.00       0
              agent[4483/3163]    3163          1        1.533      1.533       1.533       1.533    0.00       0
              multipathd[1668]       1        146        2.593      0.005       0.017       0.047    4.47       0
    containerd-shim[4228/3143]    3143         33        4.216      0.007       0.127       0.789   25.04       0
             migration/62[389]       2         38        0.329      0.008       0.008       0.014    1.85       0
          kworker/37:1H[29317]       2         61        1.535      0.010       0.025       0.095    6.24       0
         systemd-timesyn[2182]       1          1        0.133      0.133       0.133       0.133    0.00       0
            migration/105[647]       2         38        0.373      0.003       0.009       0.039   16.56       0
            dockerd[2695/2411]    2411         43       12.358      0.004       0.287       5.014   43.90       0
             migration/20[136]       2         37        0.374      0.008       0.010       0.041   10.24       0
          kworker/3:2-mm_[904]       2          7        0.147      0.007       0.021       0.039   20.51       0
          kworker/4:2-mm_[905]       2          9        0.228      0.013       0.025       0.053   18.40       0
             migration/63[395]       2         38        0.477      0.008       0.012       0.044   12.34       0
          kworker/6:2-mm_[907]       2          2        0.022      0.009       0.011       0.012   16.86       0
         multipathd[1675/1668]    1668          5        0.080      0.012       0.016       0.022   13.80       0
         multipathd[1676/1668]    1668        146        4.640      0.016       0.031       0.051    2.08       0
            migration/106[653]       2         38        0.394      0.002       0.010       0.042   15.67       0
          kworker/8:2-eve[909]       2         92        3.299      0.005       0.035       0.073    4.22       0
             migration/21[142]       2         37        0.408      0.008       0.011       0.041   12.40       0
          kworker/11:2-mm[912]       2        281        3.774      0.010       0.013       0.093    3.54       0
             migration/64[401]       2         38        0.326      0.002       0.008       0.041   11.78       0
          kworker/12:2-ev[913]       2          7        0.129      0.010       0.018       0.032   20.16       0
             ksoftirqd/64[402]       2          1        0.004      0.004       0.004       0.004    0.00       0
            migration/107[659]       2         38        0.245      0.003       0.006       0.041   15.63       0
             migration/22[148]       2         37        0.349      0.006       0.009       0.042    9.74       0
              agent[4246/3163]    3163        253        1.489      0.002       0.005       0.041    3.96       0
             migration/65[407]       2         38        0.381      0.008       0.010       0.041   10.34       0
          kworker/18:2-mm[919]       2          2        0.033      0.013       0.016       0.019   18.30       0
